Protein_feat,All_Data,Partition_1,Partition_2,Partition_3,Partition_4,Partition_5,Partition_6,Partition_7,Partition_Average
Sequence Length,0.004728867,0.006946413,0.007620267,0.005231469,0.005017769,0.008125124,0.007973574,0.010948444,0.007409009
Molecular Weight,0.007470083,0.005794444,0.009324085,0.009199202,0.011340095,0.00846072,0.007144979,0.008297373,0.008508699
GRAVY,0.007489513,0.016398242,0.012672624,0.008924381,0.009461273,0.009346554,0.007963608,0.013337037,0.011157674
Isoelectric Point,0.005099793,0.005574386,0.004746541,0.004490086,0.005136496,0.005034834,0.005033795,0.004302325,0.004902638
Instability Index,0.015039635,0.030089805,0.018757492,0.019431127,0.019654835,0.023223715,0.02065038,0.018832823,0.021520024
Aromaticity,0.009096971,0.008460515,0.00970362,0.009534579,0.005961995,0.005966051,0.01107388,0.009620632,0.008617325
Charge at 7,0.0058634,0.005556263,0.006414997,0.004907431,0.006042513,0.007422012,0.006697414,0.006289824,0.006190065
Amino Acid Percent A,0.004782645,0.006091879,0.004758483,0.005620418,0.006531341,0.002692688,0.004452482,0.006816701,0.00528057
Amino Acid Percent C,0.007194633,0.005179636,0.005529201,0.005640814,0.006130458,0.005143933,0.00557543,0.006030092,0.005604223
Amino Acid Percent D,0.006257104,0.007589822,0.005779462,0.003492049,0.0036335,0.004013524,0.003955547,0.006307668,0.004967368
Amino Acid Percent E,0.006879628,0.008775633,0.007199641,0.005182415,0.007281505,0.007731712,0.006819314,0.005755907,0.006963733
Amino Acid Percent F,0.00695403,0.006078488,0.009305628,0.005783315,0.005396002,0.004786107,0.007067204,0.005942218,0.006336995
Amino Acid Percent G,0.008708739,0.009039009,0.005420747,0.006798525,0.00354009,0.008554071,0.009019014,0.009128785,0.007357177
Amino Acid Percent H,0.006696064,0.006262581,0.004879001,0.006327873,0.005328633,0.004742912,0.004918901,0.005524408,0.00542633
Amino Acid Percent I,0.005294844,0.005260602,0.00649125,0.005171957,0.004453868,0.003194948,0.004360779,0.006285078,0.005031212
